# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                             | flagCoding    | flags                                       | ancilliaryBandName
# Diff_TBs_Type                                                                                                                                            *
  *       | Control_Flags_R2        | Control_Flags_R2        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Control flags for 2nd mapped retrieval configuration                                                   | TODO          | TODO                                        | *
  *       | Param1_prior_R3         | Param1_prior_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_prior_R3                                                                                        | *             | *                                           | Param1_sigma_prior_R3
  *       | Param1_sigma_prior_R3   | Param1_sigma_prior_R3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_sigma_prior_R3                                                                                  | *             | *                                           | *
  *       | Param2_prior_R3         | Param2_prior_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param2_prior_R3                                                                                        | *             | *                                           | Param2_sigma_prior_R3
  *       | Param2_sigma_prior_R3   | Param2_sigma_prior_R3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param2_sigma_prior_R3                                                                                  | *             | *                                           | *
  *       | Param3_prior_R3         | Param3_prior_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param3_prior_R3                                                                                        | *             | *                                           | Param3_sigma_prior_R3
  *       | Param3_sigma_prior_R3   | Param3_sigma_prior_R3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param3_sigma_prior_R3                                                                                  | *             | *                                           | *
  *       | Param4_prior_R3         | Param4_prior_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_R3                                                                                        | *             | *                                           | Param4_sigma_prior_R3
  *       | Param4_sigma_prior_R3   | Param4_sigma_prior_R3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_R3                                                                                  | *             | *                                           | *
  *       | Param5_prior_R3         | Param5_prior_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_R3                                                                                        | *             | *                                           | Param5_sigma_prior_R3
  *       | Param5_sigma_prior_R3   | Param5_sigma_prior_R3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_R3                                                                                  | *             | *                                           | *
  *       | Param6_prior_R3         | Param6_prior_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_R3                                                                                        | *             | *                                           | *
  *       | Dg_LSC_R3               | Dg_LSC_R3               | *     | *           | *             | *             | *         | *          | *      | *         | *         | K         | Dwell-line mean of absolute value of land-sea correction for 3rd mapped retrieval                      | *             | *                                           | *
  *       | Science_Flags_R3        | Science_Flags_R3        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Science flags for 3rd mapped retrieval configuration                                                   | TODO          | TODO                                        | *
  *       | Control_Flags_R3        | Control_Flags_R3        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Control flags for 3rd mapped retrieval configuration                                                   | TODO          | TODO                                        | *
  *       | Param1_prior_R4         | Param1_prior_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_R4                                                                                        | *             | *                                           | Param1_sigma_prior_R4
  *       | Param1_sigma_prior_R4   | Param1_sigma_prior_R4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_R4                                                                                  | *             | *                                           | *
  *       | Param2_prior_R4         | Param2_prior_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_prior_R4                                                                                        | *             | *                                           | Param2_sigma_prior_R4
  *       | Param2_sigma_prior_R4   | Param2_sigma_prior_R4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_sigma_prior_R4                                                                                  | *             | *                                           | *
  *       | Param3_prior_R4         | Param3_prior_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_R4                                                                                        | *             | *                                           | Param3_sigma_prior_R4
  *       | Param3_sigma_prior_R4   | Param3_sigma_prior_R4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_R4                                                                                  | *             | *                                           | *
  *       | Param4_prior_R4         | Param4_prior_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_R4                                                                                        | *             | *                                           | Param4_sigma_prior_R4
  *       | Param4_sigma_prior_R4   | Param4_sigma_prior_R4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_R4                                                                                  | *             | *                                           | *
